;N;S;NC;ND;NH;NS;NNT;SC;SD;SH;SS;SNT
45;QT8653.T7.JT.A62;9.KQ9.A952.KQJ95;9.3;7.2;5.8;7.8;8.0;9.3;7.3;5.8;7.8;8.1
46;J4.4.KQJ87.AQ532;T.AJT875.T643.J7;8.1;10.4;7.8;3.2;4.6;8.1;10.4;7.8;3.2;4.6
47;43.KJ42.AKJ6.962;AKJ.Q976.T97.K73;7.0;8.2;9.3;5.9;8.4;6.9;8.4;9.3;5.9;8.4
48;7.AQJ93.AJ62.T75;96432.T65.K953.6;2.4;9.0;8.7;3.9;3.1;2.4;9.0;8.6;3.9;3.1
49;K962.A974.42.JT2;AJT8.Q.AT9873.53;4.0;8.8;4.4;9.0;6.0;4.0;8.8;4.3;9.0;6.0
50;AKQ73.64.542.T74;J95.KJ95.K86.KJ5;4.9;4.9;5.0;7.0;6.3;5.0;5.0;5.2;7.3;6.5
51;J9.A96.9732.T632;AT4.QJT74.K4.Q74;5.5;4.4;6.8;3.7;5.4;5.7;4.4;6.8;3.8;5.8
52;QT632.852.KQJ85.;8.QJ643.AT.AKT93;6.6;7.6;9.1;6.7;7.5;6.6;7.6;9.0;6.5;7.4
53;AKQJ92.T3.AQ8.85;T87.A64.7542.A97;4.9;8.6;5.1;10.0;9.7;4.9;8.6;5.1;10.0;9.7
54;K754.AQ9.T.J8753;J.K862.KQJ987.KQ;8.0;9.7;9.1;6.2;7.8;7.8;9.7;9.1;6.2;7.8
55;J7.AT854.Q9.AKJ4;A654.Q76.J75.T72;7.6;5.3;8.2;6.0;6.8;7.6;5.3;8.2;5.9;6.8
56;.T98732.AK654.98;AJ73.AQ64.J9.JT7;4.5;8.8;10.5;4.3;7.1;4.4;8.8;10.5;4.4;7.1
57;Q.7532.T8754.532;AJ75.AQ86.Q63.76;2.9;5.9;6.0;3.0;3.2;2.9;6.1;6.2;3.0;3.2
58;32.J92.A96.Q9765;AQT9.63.T8432.83;4.1;5.3;2.6;3.8;2.6;4.0;5.3;2.6;3.7;2.6
59;72.K754.K3.KJ982;J9865.T62.J642.T;3.9;2.6;3.4;3.3;2.6;3.9;2.6;3.4;3.3;2.6
60;AQ876.982.92.JT3;KJ2.K6543.KT4.95;2.7;2.6;6.4;6.4;5.3;2.7;2.7;6.2;6.4;5.0
61;KJ8.KJ7652.9.A32;A6.AT3.AQ83.QJT6;11.8;9.2;12.4;9.1;12.2;11.8;9.3;12.3;9.2;12.4
62;9863.KQ.865.QT84;2.J95.K9743.9653;4.5;4.9;2.0;1.5;2.0;4.5;4.9;2.0;1.5;2.0
63;JT.J854.AQ96.AQ3;942.92.J542.KT97;6.8;8.0;4.0;3.5;4.0;6.8;8.0;4.0;3.4;4.0
64;2.KT9.KJ98742.J9;K43.QJ64.Q.AT865;7.0;8.2;7.0;3.5;4.6;7.0;8.2;7.1;3.5;4.6
65;J5.86.KQ652.K865;Q7643.J75.T3.QJ2;4.3;4.3;2.5;4.0;3.0;4.3;4.3;2.4;4.0;3.0
66;9.KT32.AK43.JT54;KQT83.J74.J2.976;5.6;4.4;5.6;5.4;5.1;5.6;4.4;5.6;5.4;5.4
67;AQ3.AKJ.J9.QT854;KT7654.854.T83.7;6.2;4.2;5.4;9.5;6.0;6.1;4.2;5.4;9.5;5.9
68;96.A64.AJT.KJ986;QJT753.KQJ2.K.T2;8.8;5.6;8.8;9.7;8.9;8.8;5.5;8.7;9.5;8.6
69;JT75.T643.9765.T;KQ.J5.KQJ8.AQ976;5.5;7.9;5.7;5.4;6.5;5.5;7.9;5.7;5.4;6.6
70;K65.Q9754.9864.8;Q2.AKT83.T75.AT5;2.5;5.4;9.0;3.4;6.0;2.5;5.4;9.0;3.4;6.0
71;73.AK6.AKT6.KJ86;AQT6.42.QJ873.QT;10.6;11.7;7.7;9.4;11.8;10.6;11.7;7.9;9.4;11.8
72;QT876.T86.KT54.9;KJ3.A4.32.AJ8762;6.7;5.2;4.3;7.8;5.8;6.7;5.1;4.3;7.8;5.7
73;K7.KJ4.KJT76.KJ5;Q962.T53.A952.82;4.6;8.9;6.2;6.1;7.5;4.6;8.9;5.9;5.9;7.3
74;K975.KJ63.KJ5.A9;J.AT84.32.JT6532;8.7;4.8;8.5;4.9;7.1;8.5;4.4;8.3;4.7;6.0
75;KQ7432.96.Q86.64;8.AKT83.AKJT54.8;3.6;10.5;9.2;7.7;6.0;3.6;10.5;9.2;7.7;6.0
76;943.A93.T74.T985;KQJ6.J85.Q.KJ643;7.6;2.6;3.1;5.2;3.1;7.5;2.6;3.3;5.3;3.3
77;A52.KQ.KQ64.T732;J986.T732.J.KQ86;7.8;5.5;5.8;6.8;6.6;7.7;5.4;5.8;6.8;6.6
78;A7.K54.KQ95.JT72;KJT.QJ63.6.KQ953;9.7;6.6;8.7;6.5;9.6;9.7;6.7;8.8;6.5;9.3
79;865.Q5.JT953.K65;942.AT876.A4.AT2;5.0;6.5;6.7;4.9;5.6;5.0;6.5;6.7;4.8;5.7
80;Q2.T4.AKT973.QT5;AT853.A32.865.43;4.6;8.7;4.3;7.1;7.4;4.5;8.7;4.3;7.1;7.4
81;T98654.T4.85.763;AKJ.3.643.AQJ954;8.4;1.3;1.2;8.4;2.0;8.4;1.3;1.2;8.4;2.0
82;J9.AQ76.T74.K842;AKT3.KJT84.J.QJ7;9.1;5.4;10.6;7.3;6.5;9.1;5.5;10.7;7.3;6.5
83;73.A7543.7.T9874;QT98.8.JT8532.A2;4.1;5.0;2.7;3.6;2.0;4.2;5.0;2.7;3.6;2.0
84;AKJT.KQ85.KJ5.AT;Q52.A9632.64.853;6.1;6.2;11.0;10.1;10.1;6.0;6.1;11.0;10.1;10.1
85;K986.A6.J98743.T;QJ42.872.AK.KQ54;5.4;8.9;5.4;9.6;6.9;5.4;8.9;5.4;9.6;7.0
86;3.A98532.8543.AT;KQ5.6.A762.J9754;7.2;8.1;6.1;4.9;5.0;6.9;8.1;6.1;4.9;5.3
87;432.AKQJ9.KJ2.Q3;A5.T876.Q53.KJ97;7.8;6.9;9.9;5.4;7.8;7.8;6.9;9.9;5.4;7.8
88;T9752.J94.A5.J98;KQ.KQ.KJT7.Q6532;7.9;6.8;5.2;7.2;7.5;8.0;6.8;5.2;7.2;7.6
89;J86.96.KT65.J976;AQT32.T73.J43.T2;2.6;4.6;1.6;5.6;2.8;2.6;4.5;1.6;5.6;2.8
90;87654.A83.K5.A97;JT.Q7.AQ9.KQJ832;10.1;6.1;5.6;8.3;9.7;10.0;6.1;5.6;8.0;9.7
91;QT3.KQ542.T9.Q97;K94.A9873.K6.A64;5.7;4.5;9.3;5.7;6.9;5.7;4.5;9.2;5.6;7.1
92;52.AQT97.K952.82;QJ94.52.QT8.T953;3.7;5.4;5.0;3.5;4.5;3.7;5.4;5.0;3.6;4.6
93;8654.JT3.J864.63;KQJT9.AK72.Q.T87;2.6;3.2;6.0;8.4;4.3;2.6;3.2;6.0;8.4;4.3
94;AT97.T843.6.K987;K632.AQJ.QT98.AQ;8.7;8.1;9.8;10.4;9.2;8.7;8.1;10.0;10.4;9.2
95;T8762.A62.4.QJ43;.K3.AJT98762.KT5;8.0;10.5;5.4;5.3;6.7;8.0;10.5;5.4;5.3;6.7
96;3.Q7542.983.QT63;6542.983.QJT5.85;1.0;2.0;2.7;0.2;0.6;0.9;2.0;2.7;0.2;0.6
97;AQ984.A97.A6.AQ8;T65.QJ52.K98.J97;9.0;7.9;10.4;10.8;10.2;8.9;7.7;10.3;10.5;10.1
98;AJT9.AT8542..A74;K642.9.K432.8653;7.9;5.0;8.3;9.5;6.7;8.0;5.4;8.3;9.4;6.7
99;KQ42.T32.6532.74;AJ76.AQJ854.A.A2;5.3;5.2;11.3;11.3;8.8;5.3;5.3;11.3;11.3;8.8
100;Q9654.A5.9874.63;A72.KQJT7.AJ.JT8;4.7;6.2;8.0;8.4;7.0;4.7;6.3;8.0;8.4;7.0
101;2.AT843.QJT432.A;KQ85.KJ.K6.JT763;7.1;10.8;10.3;6.4;8.7;7.2;10.8;10.4;6.4;8.8
102;AQ5.J3.AQJ96.K94;8763.T.T83.A6532;9.5;9.4;4.3;7.8;6.6;9.1;9.2;4.3;7.6;6.6
103;542.AKT5.764.KJ7;AQJT9.J2.KJ9.A86;8.9;8.6;9.2;10.7;10.8;9.0;8.5;9.6;10.8;10.6
104;KT72.T75.T9865.9;Q84.43.AJ3.75432;2.1;6.2;1.2;4.5;1.5;2.2;6.2;1.2;4.5;1.5
105;J862.J7.J642.KT5;73.AQT6432.9.J87;2.5;1.5;7.1;1.7;2.5;2.4;1.3;7.1;1.7;2.2
106;KQT9843.8.AK5.T4;J.AQT92.764.KJ76;7.7;7.1;7.6;10.3;9.5;7.9;7.2;7.8;10.3;9.7
107;Q73.A43.962.Q842;K64.K98.T754.A75;5.1;5.0;3.9;4.1;4.9;5.1;4.9;3.8;4.1;4.9
108;9762.3.KQ653.J97;A843.AQT5.J8.T82;3.8;6.1;3.9;6.1;4.3;3.8;6.1;4.0;6.1;4.4
109;9.T74.AK542.T652;KQ84.KQ53..QJ974;8.3;4.7;6.9;4.9;6.2;8.3;4.9;7.0;4.9;6.3
110;Q9753.QJ9.5.JT93;J82.AKT8.KQJT2.2;5.2;6.9;7.7;7.3;6.5;5.2;6.8;7.7;7.3;6.5
111;AQJT8.K.AJT3.KQ8;43.Q874.KQ954.54;6.8;10.9;7.2;9.9;10.1;6.8;10.8;7.2;9.9;10.0
112;AQ76543.9.A5.T98;K.A8752.K763.J73;5.4;5.9;6.0;9.6;8.0;5.4;5.9;6.0;9.6;8.0
113;Q76.54.QT3.QT642;54.QJT9873.94.AK;5.0;2.0;6.9;2.4;3.0;4.9;1.9;6.9;2.2;3.0
114;QJ52.KJ75.643.Q8;AT943.T82.9.J954;3.6;2.2;5.7;7.8;3.3;3.6;2.2;5.7;7.8;3.3
115;AJ853.A62.864.J4;T.Q974.AKQ52.Q52;5.8;8.6;7.9;6.5;7.7;5.7;8.5;8.0;6.5;7.7
116;Q72.53.A76.QJ754;J543.6.KT9532.AT;6.6;8.0;2.6;6.4;5.0;6.7;8.1;2.6;6.3;5.0
117;Q7.J7.J83.QT9542;AJ.K6.A974.AJ863;9.3;8.3;3.9;3.9;7.8;9.6;8.4;3.9;4.0;8.3
118;QT952.63.JT652.9;AK73.QJ94.7.T654;2.4;4.2;3.1;7.9;3.0;2.4;4.2;3.2;7.9;3.0
119;.AKQ.QJT84.KJT98;J954.J8753.K2.54;7.8;7.5;8.6;4.3;5.1;7.8;7.6;8.5;4.4;5.1
120;4.872.JT653.KJT2;K7.AKJT6.Q82.A87;8.2;9.1;8.8;4.2;7.2;8.3;9.2;8.8;4.2;7.6
121;KJT8.AKQ53.86.98;AQ3.982.QJ3.AT73;7.4;5.9;9.7;9.4;9.8;7.5;5.9;9.7;9.5;9.8
122;AQT5.J9643.AQ85.;J8763.AK8.32.J85;4.5;6.9;10.9;12.0;7.0;4.5;6.7;10.9;11.6;7.1
123;A8.K643.532.AK32;J5.AT.AKT9.T9874;11.9;10.8;8.4;6.8;10.6;12.0;10.8;8.4;6.8;10.6
124;83.JT96.KJ6.AKT5;AJT97.Q8.A52.Q76;9.6;8.3;9.1;9.4;9.7;9.5;8.3;9.1;9.3;9.7
125;73.T54.K953.QT83;AJT8.AK82.6.9542;7.0;3.9;5.9;4.8;5.3;7.3;3.9;5.9;4.8;5.2
126;JT54.AJ74.5.AK96;A863.K3.JT62.Q53;9.6;7.0;8.4;10.3;8.3;9.7;7.2;8.5;10.4;8.6
127;T864.875.J2.8543;A.AT93.AQ86.AK76;9.2;7.1;7.9;5.8;6.9;9.2;7.1;7.9;5.8;6.9
128;QJ2.A3.AKT9.QT32;AK8.5.J832.AKJ96;12.7;12.7;6.2;10.0;12.4;12.7;12.7;6.2;10.0;12.4
129;75.AKQ6.KT.AKT64;AQJ4.7.Q965.8753;11.4;10.2;9.7;10.2;11.4;11.9;10.4;9.8;10.3;11.7
130;932.AQT985.T.K73;QJ875.3.7.Q98654;7.9;1.9;5.5;7.2;2.9;7.9;1.9;5.5;7.2;2.9
131;K.QJ84.K964.A853;AJ87432.32.J52.Q;3.6;6.1;4.9;8.1;4.7;3.6;5.9;4.8;7.8;4.7
132;T985.Q93.A952.A6;Q42.K86.KQ63.KJT;6.3;9.1;7.0;8.2;8.2;6.5;9.1;7.1;8.3;8.3
133;AT973.QT.T54.965;5.AKJ6.K632.K842;7.2;6.9;6.2;6.0;6.5;7.3;7.4;6.3;6.1;6.3
134;9.T87642.QJ8.A42;763.Q93.T64.J853;2.2;1.9;5.2;1.0;1.7;2.2;1.9;5.2;1.0;1.7
135;AKJ72.J52.Q76.97;Q9.KQT87.T5.JT53;4.4;3.7;7.5;6.6;4.9;4.4;3.7;7.5;6.6;4.9
136;986.8.KQ7542.AJ5;7.AQJ7.6.K976432;10.9;7.4;5.2;4.6;6.6;10.9;7.3;5.2;4.6;6.6
137;KJ43.AKJ63..AKT8;9.842.AT9852.Q74;10.6;9.0;11.4;8.0;9.6;10.5;9.0;11.4;7.9;9.4
138;KT.AQ9.J97.AK953;Q2.8754.AQ3.QT87;10.2;7.6;9.1;5.7;9.1;10.2;7.6;9.3;5.8;9.1
139;KT7642.K8632.K.K;985.A97.QJ5.9543;3.7;2.8;7.6;8.0;4.8;3.7;2.8;7.6;8.0;4.8
140;J98.K96.AQJ4.Q63;AK2.J853.K83.AT5;8.2;9.6;9.4;7.9;9.8;8.4;9.7;9.7;8.0;10.0
141;K843.32.A642.KJ2;AT6.J7654.87.T87;4.7;4.2;6.0;5.6;4.5;4.7;4.2;6.0;5.7;4.4
142;96.8763.QT98.K65;KQT4.A95.AJ654.J;3.8;8.4;6.3;5.5;5.0;3.7;8.4;6.3;5.5;4.8
143;J7.AKQJT87.53.82;AQ85..Q982.AQ943;7.5;6.4;10.0;7.3;8.1;7.7;6.9;10.2;7.2;8.5
144;T63.4.J753.96432;AJ5.J987532.Q2.J;2.3;2.1;4.7;1.9;1.9;2.3;2.1;4.8;2.0;1.8
145;QJ75.AK32.T87.KJ;AK9.J7.K53.QT753;9.4;7.7;7.9;9.1;9.2;9.5;7.8;7.9;9.1;9.2
146;KJ954.74.K9642.Q;A87.AJ2.QJ3.KJT4;7.6;9.9;6.7;9.7;9.2;7.7;9.9;6.7;9.6;9.4
147;K762.42.Q974.A94;94.KT763.JT863.2;1.9;7.1;4.4;2.1;2.0;1.9;7.1;4.4;2.0;2.0
148;.T962.QT973.A742;Q982.Q43.652.QT5;4.0;5.2;3.8;2.0;2.6;4.0;5.3;3.7;2.0;2.7
149;AK732.J.943.6532;Q9865.T9754.Q.97;0.6;0.3;2.9;8.4;0.6;0.6;0.3;2.9;8.4;0.6
150;T9.KT986.J973.AT;A73.J32.K65.K543;4.9;6.7;7.9;4.5;6.1;4.9;6.7;7.9;4.4;6.1
151;AKJ7.T8532.T.J52;QT54.AQ9.764.Q83;4.6;3.0;8.2;8.4;5.0;4.7;3.2;8.2;8.5;5.2
152;AJT94.754.T642.9;Q7.AQJ9.J3.K6542;5.7;5.7;7.1;7.7;5.9;5.7;5.9;7.2;7.8;6.0
153;Q94.T972.KT63.53;75.AKQJ3.J954.AQ;3.8;8.6;9.1;4.1;7.4;3.5;8.7;9.0;3.9;7.1
154;Q64.JT8.AK432.J5;953.AQ73.JT8.Q93;4.0;7.1;6.5;4.8;6.3;4.0;7.1;6.5;4.8;6.2
155;842.964.KJ964.83;J75.AKQT8.75.KQ2;3.6;5.9;7.3;4.0;5.5;3.6;5.9;7.3;4.2;5.6
156;KQJ7.T62.Q52.AQ5;T4.A85.AKT983.K4;7.4;10.8;8.0;9.1;10.3;7.2;10.8;8.1;9.1;10.3
157;T8765.J6.QT.Q852;3.QT53.J752.AJ74;5.5;2.8;3.1;2.7;2.9;5.5;2.8;3.1;2.7;2.9
158;T942.Q95.T32.K76;AJ75.AK3.65.QT42;7.4;4.7;5.7;7.8;6.2;7.3;4.8;5.8;7.8;6.2
159;2.753.KT2.KQJ952;A864.986.9843.A7;7.6;5.7;4.0;3.1;6.5;7.6;5.7;4.0;3.1;6.5
160;864.982.J3.K9764;2.Q743.K984.AQT3;7.6;3.7;4.4;2.0;3.9;7.6;3.7;4.5;2.0;3.9
161;KQ975.85.32.9643;4.AT6.KJ974.AKQ5;8.6;7.3;5.1;7.0;6.7;8.6;7.5;5.2;6.9;6.8
162;K97643.42.Q6.865;AJ852.QJ8.AKT.32;4.0;4.3;4.0;9.0;4.9;4.0;4.3;4.0;9.0;4.9
163;A75.AJT2.KT862.8;QJ63.KQ85.73.J92;3.4;7.3;8.4;7.3;5.3;3.5;7.3;8.6;7.2;5.3
164;QT94.K864.Q93.Q8;AK65.JT5.A7652.9;3.2;8.6;7.4;8.7;5.2;3.2;8.7;7.0;8.6;5.1
165;K43.AJ7.Q97.AT64;T962.T.6532.Q987;6.4;4.9;2.4;5.0;3.8;6.4;4.9;2.3;4.8;3.8
166;Q432.8.9743.AQ95;J9.K54.KJ2.KT764;8.0;6.2;3.0;4.7;5.5;8.0;6.5;3.0;4.9;5.8
167;8.75.QJT82.QJT97;AQJT63.Q.A3.AK84;12.0;10.2;4.6;10.4;7.0;12.0;10.2;4.6;10.4;7.0
168;J65.T9.KQ7653.97;QT2.KJ.J4.QJ8632;5.9;6.2;2.0;2.7;2.8;5.9;6.2;2.0;2.7;2.8
169;A52.K9873.T9.QJT;T74.5.J7642.A632;5.0;5.2;4.1;3.1;3.9;5.0;5.2;4.1;3.1;3.9
170;K653.AK872.4.964;A82.QT63.982.T52;2.4;1.8;8.0;6.5;2.7;2.0;1.8;8.0;6.4;2.2
171;J6.AKJ986.J964.3;AK75.52.A87.QJ54;5.9;8.5;9.4;6.7;8.3;6.2;8.4;9.5;6.8;8.5
172;AJT542.AJ74.2.84;9873.Q92.KQ98.A5;4.5;5.7;8.1;9.4;6.3;4.5;5.8;8.1;9.4;6.3
173;QT63.J54.JT973.2;9754.763.Q42.KQ3;1.4;3.8;1.3;3.6;1.5;1.4;3.8;1.3;3.7;1.6
174;A.3.KT8532.QT982;875.764.Q64.AKJ7;9.7;10.3;2.4;2.4;6.0;9.7;10.3;2.4;2.4;6.0
175;AKJT3.982.AQ76.3;Q8.QJ73.43.QT865;6.3;6.3;7.4;7.6;6.8;6.3;6.4;7.5;7.6;7.0
176;T8.AJ9.AKT.QJ432;K9753.74.Q86.987;7.6;5.7;4.6;6.8;6.0;7.5;5.8;4.5;6.8;6.0
177;A876.A2.K95.K865;J32.J8.AJ74.AT32;9.3;8.5;5.5;8.3;8.0;9.4;8.6;5.5;8.4;8.1
178;J5.K54.KQT32.K86;Q.A982.AJ976.QT2;5.5;9.8;7.8;3.7;6.1;5.6;9.9;7.9;3.8;6.1
179;AQ4.84.T95.Q9752;987.QJ7.2.KJT643;7.8;1.9;2.4;2.8;2.5;7.8;1.9;2.4;2.8;2.5
180;A.QJ43.AJ74.AJ95;Q642.A65.Q52.KT6;10.6;10.7;10.4;8.3;10.2;10.6;10.5;10.4;8.3;10.2
181;AK874.A.T7.KJT43;T.JT942.A965.A95;11.2;8.3;8.0;9.5;9.0;11.2;8.3;8.0;9.5;9.0
182;6.964.AQ7.AQJ954;T984.Q.KJ8643.K7;10.7;11.0;1.8;2.3;2.4;10.8;11.0;1.8;2.3;2.4
183;KT9873.T87.96.Q5;QJ65.AQ.Q75.T843;2.5;1.5;1.5;7.3;2.1;2.5;1.5;1.5;7.3;2.1
184;JT.K43.98653.KT8;A543.Q96.QJ7.976;2.8;5.3;3.4;3.0;3.3;2.8;5.2;3.4;3.0;3.3
185;QJ96.A94.972.AJ9;AT4.QJT6.KT4.K43;7.9;7.6;8.8;9.1;9.3;7.8;7.6;8.9;9.1;9.3
186;AQT82.A76.T9.AK7;J9643.4.AK52.932;8.9;8.7;6.4;11.9;9.9;8.8;8.7;6.4;11.9;9.9
187;AKJ8.J5.743.K865;T953.KT3.T96.J97;5.2;3.3;3.0;5.8;4.5;5.2;3.2;3.1;5.8;4.5
188;Q85.KJT.T765.KQ6;KJ974.A94.A.T982;9.7;6.0;7.4;10.5;7.5;9.7;6.0;7.4;10.5;7.5
189;K93.J97.AT765.73;54.A864.982.J952;2.8;4.6;4.1;2.5;2.8;3.0;4.6;4.1;2.5;2.8
190;9843.QT6.KT642.4;AJ.973.9853.7653;1.0;5.9;1.6;1.8;1.2;1.0;5.9;1.6;2.0;1.2
191;9865.A642.7.8632;JT7432..T86.AJ94;6.8;1.8;1.8;8.3;2.0;6.7;1.8;1.8;8.3;2.0
192;AQJT95.Q96..KJ94;K86.832.QJ975.A6;6.9;5.6;6.7;10.2;6.9;6.8;5.6;6.4;10.1;6.9
193;QT3.AJT3.KQ5.K73;2.Q62.AJ9763.A84;7.8;11.7;11.0;6.0;9.6;7.7;11.7;10.9;5.8;9.6
194;632.K84.A863.KQ8;AQJ7.T93.QJ95.76;5.3;8.6;6.1;7.6;7.3;5.2;8.4;6.0;7.5;7.2
195;63.KT832.KQ.A654;AJT2.QJ54.AT73.T;6.6;8.2;11.6;8.0;8.5;6.6;8.2;11.6;7.9;8.5
196;6.QT864.J.KT9832;K43.A7532.A98.Q4;9.3;2.7;10.2;2.5;5.0;9.3;2.8;10.2;3.0;5.0
197;T952.94.542.KQJ4;Q74..KJT863.6532;6.3;7.3;0.6;3.1;1.0;6.4;7.4;0.6;3.2;1.0
